"Estacao";"Nome";"Horario_Brasilia";"Horario_Rondonia";"Horario_Acre";"Nivel_Atual";"Var_Nivel_24";"Var_Nivel_7d";"Var_Nivel_14d";"Var_Nivel_21d";"Acum_Chuva_24";"Acum_Chuva_96";"Rio";"Passado";"C_Max";"Ano_Max";"Mediana";"Minima_Dia";"Maxima_Dia";"Percentil";"SPI"
"71200000";"Vila Canoas";2025-10-15 11:00:00;2025-10-15 10:00:00;2025-10-15 09:00:00;155;-14;-65;-51;-206;0;2,4;"CANOAS";;;;;;;;
"71300000";"Rio Bonito";2025-10-15 11:00:00;2025-10-15 10:00:00;2025-10-15 09:00:00;238;-20;-162;-38;-359;0;0;"CANOAS";722;;"1990";255;69;1335;"40%-50%";
"71350001";"Encruzilhada II";2025-10-15 11:00:00;2025-10-15 10:00:00;2025-10-15 09:00:00;243;-7;-159;-73;-200;0;0;"CANOAS";536;;"2017";324;118;922;"30%-40%";
"72715000";"Rio das Antas";2025-10-15 11:00:00;2025-10-15 10:00:00;2025-10-15 09:00:00;161;-6;-4;-10;-12;0;14,4;"DO PEIXE";159;;"1997";156;80;263;"60%-70%";
"72810000";"Tangará";2025-10-15 11:00:00;2025-10-15 10:00:00;2025-10-15 09:00:00;108;-16;-7;-6;-26;0;23,2;"DO PEIXE";107;;"2022";114;69;313;"40%-50%";
"72849000";"Joaçaba I";2025-10-15 11:00:00;2025-10-15 10:00:00;2025-10-15 09:00:00;157;-46;-39;-28;-100;0;28,2;"DO PEIXE";160;;"2014";188;75;590;"30%-40%";
"73770000";"Porto Fae Novo";2025-10-15 10:45:00;2025-10-15 09:45:00;2025-10-15 08:45:00;259;1;60;75;109;0;82;"CHAPECÓ";167;;"1983";187,5;54;541;"70%-80%";
"73960000";"Barra do Chapecó Aux.";2025-10-15 11:00:00;2025-10-15 10:00:00;2025-10-15 09:00:00;281;-20;41;53;84;0;38,4;"CHAPECÓ";210;;"1983";215;127;410;"80%-90%";
"74100000";"Iraí";2025-10-15 11:00:00;2025-10-15 10:00:00;2025-10-15 09:00:00;265;-38;-56;-76;-222;0,2;41,6;"URUGUAI";286;;"1983";275,5;130;959;"40%-50%";
"74295000";"Linha Jataí";2025-10-15 11:00:00;2025-10-15 10:00:00;2025-10-15 09:00:00;113;-16;-8;-19;5;0,2;39,6;"IRACEMA";109;;"1983";96;56;305;"50%-60%";
"74300000";"Guatapara de Baixo";2025-10-15 11:15:00;2025-10-15 10:15:00;2025-10-15 09:15:00;148;-50;-11;-29;68;0,2;68,8;"DAS ANTAS";63;;"2013";115;60;368;"70%-80%";
"74320000";"Ponte do Sargento";2025-05-12 10:00:00;2025-05-12 09:00:00;2025-05-12 08:00:00;-13;2;0;1;0;0;0;"SARGENTO";;;;;;;;
"74329000";"Itapiranga";2025-10-15 11:15:00;2025-10-15 10:15:00;2025-10-15 09:15:00;278;-41;-29;12;-167;0;25;"URUGUAI";236;;"2023";277,5;92;537;"50%-62%";
"74500000";"Alto Uruguai";2025-10-15 10:30:00;2025-10-15 09:30:00;2025-10-15 08:30:00;379;-165;-78;15;-349;0;26,4;"URUGUAI";336;;"1965";330;86;1234;"50%-60%";
"74720000";"Porto Mauá";2025-10-15 10:30:00;2025-10-15 09:30:00;2025-10-15 08:30:00;434;-127;-29;;-274;0;13,4;"URUGUAI";400;;"2023";479,5;124;768;"20%-40%";
