"Site";"lat";"lon";"DA";"Nome";"Horario_Brasilia";"Horario_Rondonia";"Horario_Acre";"Nivel_Atual";"Var_Nivel_24";"Var_Nivel_7d";"Var_Nivel_14d";"Var_Nivel_21d";"Acum_Chuva_24";"Acum_Chuva_96";"Rio";"Passado";"C_Max";"Ano_Max";"Mediana";"Minima_Dia";"Maxima_Dia";"Percentil";"SPI"
"66010000";-15,0761;-57,1819;9250;"BARRA DO BUGRES";2025-10-18 11:30:00;2025-10-18 10:30:00;2025-10-18 09:30:00;44;0;7;-2;-2;1,6;21,2;"PARAGUAI";36;;"1991";62;36;293;"0%-10%";
"66070004";-16,0761;-57,7022;32400;"CÁCERES (DNPVN)";2025-10-06 20:00:00;2025-10-06 19:00:00;2025-10-06 18:00:00;71;2;8;8;2;0;0;"PARAGUAI";44;;"1982";148;40;360;"0%-10%";
"66120000";-17,1433;-57,3594;64000;"PORTO CONCEICAO";2025-10-18 11:30:00;2025-10-18 10:30:00;2025-10-18 09:30:00;231;-1;-5;-10;-14;0;0,4;"PARAGUAI";165;;"1995";305;166;437;"0%-10%";
"66125000";-17,6414;-57,6906;68900;"BELA VISTA DO NORTE";2025-10-18 12:15:00;2025-10-18 11:15:00;2025-10-18 10:15:00;339;-2;-12;-26;-36;0;0;"PARAGUAI";228;;"1982";338,5;228;392;"50%-60%";
"66260001";-15,6156;-56,1086;23500;"CUIABÁ";2025-04-30 07:00:00;2025-04-30 06:00:00;2025-04-30 05:00:00;332;19;-69;-21;56,5384615;0;0;"CUIABÁ";;;"1974";130;-3;236;"40%-50%";
"66260006";;;;"CUIABÁ";2025-10-18 12:00:00;2025-10-18 11:00:00;2025-10-18 10:00:00;129;1;1;3;0;6,6;6,6;"CUIABÁ";;;;;;;;
"66270000";-15,8697;-56,0761;25300;"SANTO ANTÔNIO DO LEVERGER";2025-10-18 11:45:00;2025-10-18 10:45:00;2025-10-18 09:45:00;245;-1;0;6;-4;0;20;"CUIABÁ";238;;"1974";334;231;462;"0%-10%";
"66280000";;;;"BARÃO DE MELGAÇO";2025-10-16 17:00:00;2025-10-16 16:00:00;2025-10-16 15:00:00;200;4;10;10;-1;0;0;"CUIABÁ";173;;"1992";256;170;657;"0%-10%";
"66460000";-16,6081;-55,2064;23000;"ACIMA DO CÓRREGO GRANDE";2025-10-18 12:15:00;2025-10-18 11:15:00;2025-10-18 10:15:00;35;-2;4;-4;-25;2,2;15,8;"SÃO LOURENÇO";42;;"1997";91;6;261;"0%-10%";
"66470000";-16,9253;-56,2236;24100;"SÃO JOSÉ DO BORIREU";2023-09-15 07:00:00;2023-09-15 06:00:00;2023-09-15 05:00:00;69;-4;-4;-1;-2;0;0;"SÃO LOURENÇO";;;;;;;;
"66600000";-17,2017;-56,0086;23300;"SÃO JERÔNIMO";2025-10-18 11:45:00;2025-10-18 10:45:00;2025-10-18 09:45:00;197;-1;1;-1;-2;0;8,4;"PIQUIRI";;;;;;;;
"66650000";-17,2917;-56,3872;30000;"SÃO JOSÉ DO PIQUIRI";2025-10-18 12:00:00;2025-10-18 11:00:00;2025-10-18 10:00:00;183;0;2;-3;-2;0;0;"PIQUIRI";169;;"1977";208,5;159;264;"10%-20%";
"66710000";-17,3656;-56,7747;95200;"POUSADA TAIAMÃ  (Ex-Porto Jofre)";2025-10-18 12:00:00;2025-10-18 11:00:00;2025-10-18 10:00:00;228;2;2;-8;-4;0,6;0,6;"CUIABÁ";197;;"2003";280;195;332;"0%-10%";
"66810000";-18,3939;-57,3911;243000;"PORTO SAO FRANCISCO";2025-10-18 12:00:00;2025-10-18 11:00:00;2025-10-18 10:00:00;406;-4;-27;-59;-104;0;0;"PARAGUAI";233;;"1995";483,5;233;601;"20%-30%";
"66825000";-19,0017;-57,5942;253000;"LADÁRIO";2025-10-17 07:00:00;2025-10-17 06:00:00;2025-10-17 05:00:00;103;-2;-29;-66;-99;0;0;"PARAGUAI";-68;;"1988";187;-69;374;"20%-30%";
"66870000";-18,5078;-54,7619;27600;"COXIM";2025-10-18 12:30:00;2025-10-18 11:30:00;2025-10-18 10:30:00;371;1;-4;7;6;0,8;0,8;"TAQUARI";;;"1977";;;;"0%-10%";
"66900000";-20,7619;-56,0911;11600;"ESTRADA MT-738";2025-10-18 10:45:00;2025-10-18 09:45:00;2025-10-18 08:45:00;104;5;-3;-10;5;27,8;33,6;"MIRANDA";;;;;;;;
"66910000";-20,2408;-56,3992;15000;"MIRANDA";2025-10-18 12:00:00;2025-10-18 11:00:00;2025-10-18 10:00:00;109;-3;-56;-14;5;4,2;4,4;"MIRANDA";168;;"1992";192;108;621;"0%-10%";
"66941000";-20,4481;-55,4281;10900;"PALMEIRAS";2025-10-18 12:30:00;2025-10-18 11:30:00;2025-10-18 10:30:00;135;-19;12;5;8;10,2;10,2;"AQUIDAUANA";;;"2011";164;98;405;"10%-20%";
"66945000";-20,4783;-55,8014;15700;"AQUIDAUANA";2025-10-18 12:00:00;2025-10-18 11:00:00;2025-10-18 10:00:00;174;-15;25;17;18;0;0;"AQUIDAUANA";167;;"2011";266;118;595;"0%-10%";
